SNP,Effect Size,P-value notes,P-value,file_name
rs3757949/rs7092522,"1.42 (1.25, 1.62)","p -value (10,000 permutations).APOE *4 + females",0.0001,ACEL-22-e13938_table_4.csv
rs62491484/rs35435718,"1.36 (1.19, 1.54)","p -value (10,000 permutations).APOE *4 + females",0.0002,ACEL-22-e13938_table_4.csv
rs62491484/rs28672744/ rs35435718,"1.56 (1.38, 1.76)","p -value (10,000 permutations).APOE *4 + females",0.0001,ACEL-22-e13938_table_4.csv
rs2686186/rs7092522/ rs12316064/ rs35511346,"1.96 (1.72, 2.22)","p -value (10,000 permutations).APOE *4 + females",0.0001,ACEL-22-e13938_table_4.csv
rs2686186/rs7092522/ rs12316064/ rs35511346,"1.96 (1.72, 2.22)","p -value (10,000 permutations).APOE *4 + females",0.0001,ACEL-22-e13938_table_4.csv
rs4674302/rs718630,"1.46 (1.27, 1.69)","p -value (10,000 permutations).APOE *4 + females",0.8127,ACEL-22-e13938_table_4.csv
rs56190996/rs4325676,"1.49 (1.28, 1.73)","p -value (10,000 permutations).APOE *4 + females",0.5017,ACEL-22-e13938_table_4.csv
rs7563682/rs670548/ rs12972985,"1.69 (1.46,1.96)","p -value (10,000 permutations).APOE *4 + females",0.9976,ACEL-22-e13938_table_4.csv
rs7563682/rs670548/ rs12972985,"1.69 (1.46,1.96)","p -value (10,000 permutations).APOE *4 + females",0.9976,ACEL-22-e13938_table_4.csv
rs11573680/rs4983559,"1.43 (1.24, 1.64)","p -value (10,000 permutations).APOE *4 + females",0.7629,ACEL-22-e13938_table_4.csv
rs6214/rs1879612,"1.33 (1.18, 1.50)","p -value (10,000 permutations).APOE *4 + females",0.6723,ACEL-22-e13938_table_4.csv
rs11573680/rs1520220/ rs4983559,"1.55 (1.37, 1.76)","p -value (10,000 permutations).APOE *4 + females",0.2953,ACEL-22-e13938_table_4.csv
rs1776178/rs2010704/ rs804281/rs1879612,"1.16 (1.09, 1.40)","p -value (10,000 permutations).APOE *4 + females",0.5058,ACEL-22-e13938_table_4.csv
rs3757949/rs7092522,"1.42 (1.25, 1.62)","p -value (10,000 permutations).APOE *4 + males",0.1945,ACEL-22-e13938_table_4.csv
rs62491484/rs35435718,"1.36 (1.19, 1.54)","p -value (10,000 permutations).APOE *4 + males",0.6143,ACEL-22-e13938_table_4.csv
rs62491484/rs28672744/ rs35435718,"1.56 (1.38, 1.76)","p -value (10,000 permutations).APOE *4 + males",0.8034,ACEL-22-e13938_table_4.csv
rs2686186/rs7092522/ rs12316064/ rs35511346,"1.96 (1.72, 2.22)","p -value (10,000 permutations).APOE *4 + males",0.9389,ACEL-22-e13938_table_4.csv
rs2686186/rs7092522/ rs12316064/ rs35511346,"1.96 (1.72, 2.22)","p -value (10,000 permutations).APOE *4 + males",0.9389,ACEL-22-e13938_table_4.csv
rs4674302/rs718630,"1.46 (1.27, 1.69)","p -value (10,000 permutations).APOE *4 + males",0.0001,ACEL-22-e13938_table_4.csv
rs56190996/rs4325676,"1.49 (1.28, 1.73)","p -value (10,000 permutations).APOE *4 + males",0.0002,ACEL-22-e13938_table_4.csv
rs7563682/rs670548/ rs12972985,"1.69 (1.46,1.96)","p -value (10,000 permutations).APOE *4 + males",0.0001,ACEL-22-e13938_table_4.csv
rs7563682/rs670548/ rs12972985,"1.69 (1.46,1.96)","p -value (10,000 permutations).APOE *4 + males",0.0001,ACEL-22-e13938_table_4.csv
rs11573680/rs4983559,"1.43 (1.24, 1.64)","p -value (10,000 permutations).APOE *4 + males",0.0318,ACEL-22-e13938_table_4.csv
rs6214/rs1879612,"1.33 (1.18, 1.50)","p -value (10,000 permutations).APOE *4 + males",0.8911,ACEL-22-e13938_table_4.csv
rs11573680/rs1520220/ rs4983559,"1.55 (1.37, 1.76)","p -value (10,000 permutations).APOE *4 + males",0.8032,ACEL-22-e13938_table_4.csv
rs1776178/rs2010704/ rs804281/rs1879612,"1.16 (1.09, 1.40)","p -value (10,000 permutations).APOE *4 + males",0.9903,ACEL-22-e13938_table_4.csv
rs3757949/rs7092522,"1.42 (1.25, 1.62)","p -value (10,000 permutations).APOE *4 - females",0.7051,ACEL-22-e13938_table_4.csv
rs62491484/rs35435718,"1.36 (1.19, 1.54)","p -value (10,000 permutations).APOE *4 - females",0.8744,ACEL-22-e13938_table_4.csv
rs62491484/rs28672744/ rs35435718,"1.56 (1.38, 1.76)","p -value (10,000 permutations).APOE *4 - females",0.9658,ACEL-22-e13938_table_4.csv
rs2686186/rs7092522/ rs12316064/ rs35511346,"1.96 (1.72, 2.22)","p -value (10,000 permutations).APOE *4 - females",0.6944,ACEL-22-e13938_table_4.csv
rs2686186/rs7092522/ rs12316064/ rs35511346,"1.96 (1.72, 2.22)","p -value (10,000 permutations).APOE *4 - females",0.6944,ACEL-22-e13938_table_4.csv
rs4674302/rs718630,"1.46 (1.27, 1.69)","p -value (10,000 permutations).APOE *4 - females",0.9709,ACEL-22-e13938_table_4.csv
rs56190996/rs4325676,"1.49 (1.28, 1.73)","p -value (10,000 permutations).APOE *4 - females",0.2057,ACEL-22-e13938_table_4.csv
rs7563682/rs670548/ rs12972985,"1.69 (1.46,1.96)","p -value (10,000 permutations).APOE *4 - females",0.9992,ACEL-22-e13938_table_4.csv
